dzr_sng_id,MSD_sng_id,MSD_track_id,valence,arousal,artist_name,track_name
213754,SORORTY12A67ADD67E,TRJIEJX12903CF2202,-0.682725080497,0.316757791845,Dark Tranquillity,Insanity's Crescendo
216752,SOVJXGK12A8AE4760C,TRLBHVY128F4242C31,-1.40040267563,1.53822894883,Anorexia Nervosa,Stabat mater dolorosa
239138,SOACXLC12AB018218D,TRQJZHB128F92FA42D,-1.93524985679,-0.655809808621,Jimmy Witherspoon,Ain't Nobody's Business
254391,SOUTMGD12A8AE47448,TRCXLKK128F42366BF,0.815392789182,0.662457175897,Uniting Nations,Out Of Touch
266313,SOTITAA12A6D4F8DA4,TRPMWQM128F932C0C8,1.25746035728,1.086515087,The Walkmen,Brandy alexander
283306,SOCSRIF12AB018E4FC,TRABHPA12903CEC222,0.37332522108,-0.923150665621,Duke Ellington,Caravan
286183,SOCABAW12A8C135475,TRQQTKT128F426E347,1.30930778811,1.48291704738,Art Tatum,Tea For Two
301623,SORMYFP12D0219003E,TRDLPSL128F92FA016,1.07190113117,0.846830180724,Ella Fitzgerald,Lullaby Of Birdland
327203,SOOCXOM12AB018B8FF,TRQYIXF12903CA2DF3,-1.05657234488,0.736206377828,cLOUDDEAD,Pop Song
327207,SOOVKPF12AB018B916,TRTDTXN12903CA2DF9,-1.04838590843,0.335195092328,cLOUDDEAD,Son Of A Gun
364962,SOITJIQ12A8C13A291,TRPFENS128F92DF6C6,1.54125682076,1.70416465317,Boney M,Rasputin
365070,SOLBFZJ12A8C1445B8,TRBQSQG12903CBD7D3,-0.981530010788,0.62097324981,Leona Lewis,Better in time
365073,SOYMBQB12D021910E9,TRJQVNX128F425EA29,0.00766439314399,0.791518279276,Leona Lewis,I Will Be
365137,SOLMKTS12A8AE46C27,TRDHBPQ128F425EA1E,-0.569752257537,0.0319014993861,Leona Lewis,Bleeding Love
365268,SOFACKM12AB01845F4,TROTFCB12903CAC741,-1.70330082414,-0.628153857897,Mario,How Do I Breathe
519036,SONMTMG12A6D4FBEE1,TROMJWF12903CBD7CC,-1.05657234488,0.736206377828,Great Lake Swimmers,The Man With No Skin
519039,SOXOOCT12AF72A1027,TRTFOSN12903CBD7D0,0.449731961246,-2.07548194579,Great Lake Swimmers,I Will Never See the Sun
519111,SOPJJHT12A8C13F776,TRMRUDG12903CBD7B8,0.957291020918,0.390506993776,Great Lake Swimmers,Bodies and Minds
519113,SOEIXGW12A8C13F784,TRRXHFT12903CBD7BF,0.766274170504,-2.11235654676,Great Lake Swimmers,Falling Into the Sky
519117,SOMZCRY12A8C13F791,TRWAIMD128F92E059D,0.135008960085,-1.50392563083,Great Lake Swimmers,Long Into The Evening
520083,SOQXWHQ12A8C12FE4F,TRRDKSS128F423A023,-1.72786013348,-1.10752367045,MORS PRINCIPIUM EST,Fragile Flesh
530652,SOYGGNV12A8C132F0D,TRBRFYN128F4265818,-0.780962317853,-0.789480237121,The Bad Plus,Smells Like Teen Spirit
